iter	Passed	Remaining
399	40867	61301
400	40977	61210
401	41093	61129
402	41203	61038
403	41317	60952
404	41443	60885
405	41562	60807
406	41672	60716
407	41850	60723
408	42042	60751
409	42192	60715
410	42330	60663
411	42443	60574
412	42605	60555
413	42792	60570
414	42918	60498
415	43036	60415
416	43148	60324
417	43254	60225
418	43395	60173
419	43598	60206
420	43775	60203
421	43892	60118
422	43995	60012
423	44102	59913
424	44194	59792
425	44345	59752
426	44493	59706
427	44619	59631
428	44714	59515
429	44813	59404
430	44917	59299
431	45021	59195
432	45118	59081
433	45217	58970
434	45316	58859
435	45416	58749
436	45502	58621
437	45606	58518
438	45741	58453
439	45926	58452
440	46049	58371
441	46153	58265
442	46247	58149
443	46345	58036
444	46481	57971
445	46671	57973
446	46840	57948
447	46952	57851
448	47061	57752
449	47179	57663
450	47355	57645
451	47531	57626
452	47661	57552
453	47759	57437
454	47860	57327
455	47963	57219
456	48106	57158
457	48264	57116
458	48399	57046
459	48502	56938
460	48602	56825
461	48699	56711
462	48799	56599
463	48902	56491
464	49052	56436
465	49219	56401
466	49334	56307
467	49441	56202
468	49541	56091
469	49670	56011
470	49826	55962
471	49978	55907
472	50100	55819
473	50200	55708
474	50296	55591
475	50411	55495
476	50556	55432
477	50713	55381
478	50843	55301
479	50953	55199
480	51048	55080
481	51150	54970
482	51246	54854
483	51343	54738
484	51445	54627
485	51594	54567
486	51743	54505
487	51861	54411
488	51959	54296
489	52053	54178
490	52147	54059
491	52244	53943
492	52346	53833
493	52438	53712
494	52552	53613
495	52653	53502
496	52756	53393
497	52862	53287
498	52958	53170
499	53058	53058
500	53158	52946
501	53258	52834
502	53359	52722
503	53457	52608
504	53556	52496
505	53656	52384
506	53754	52269
507	53850	52154
508	53946	52038
509	54047	51928
510	54149	51817
511	54251	51708
512	54349	51594
513	54444	51478
514	54550	51373
515	54692	51300
516	54835	51229
517	54948	51129
518	55051	51020
519	55155	50912
520	55325	50865
521	55496	50818
522	55608	50717
523	55714	50610
524	55806	50491
525	55903	50376
526	56013	50273
527	56170	50212
528	56362	50183
529	56489	50094
530	56599	49990
531	56733	49908
532	56906	49859
533	57090	49820
534	57235	49747
535	57375	49668
536	57517	49591
537	57653	49509
538	57779	49418
539	57888	49312
540	57999	49208
541	58112	49106
542	58213	48993
543	58315	48882
544	58416	48769
545	58513	48653
546	58617	48544
547	58714	48428
548	58812	48314
549	58912	48200
550	59009	48085
551	59106	47970
552	59205	47856
553	59303	47742
554	59398	47625
555	59506	47519
556	59607	47407
557	59700	47289
558	59798	47175
559	59898	47062
560	59994	46947
561	60099	46839
562	60195	46723
563	60297	46612
564	60393	46498
565	60490	46383
566	60593	46273
567	60742	46198
568	60913	46139
569	61039	46047
570	61150	45942
571	61254	45834
572	61363	45727
573	61471	45621
574	61588	45522
575	61767	45467
576	61916	45390
577	62024	45284
578	62121	45169
579	62217	45054
580	62316	44940
581	62414	44827
582	62512	44713
583	62608	44597
584	62706	44483
585	62803	44369
586	62937	44281
587	63124	44230
588	63260	44142
589	63360	44030
590	63456	43914
591	63551	43798
592	63651	43686
593	63751	43574
594	63895	43491
595	64055	43419
596	64159	43310
597	64253	43194
598	64347	43077
599	64443	42962
600	64547	42852
601	64650	42742
602	64761	42637
603	64863	42526
604	64963	42414
605	65063	42302
606	65165	42191
607	65263	42077
608	65366	41967
609	65466	41855
610	65570	41746
611	65682	41642
612	65809	41546
613	65939	41453
614	66102	41381
615	66287	41321
616	66441	41243
617	66583	41156
618	66735	41076
619	66876	40989
620	66987	40882
621	67103	40779
622	67220	40677
623	67334	40573
624	67448	40468
625	67565	40366
626	67683	40264
627	67811	40168
628	67930	40067
629	68050	39966
630	68174	39867
631	68286	39761
632	68404	39659
