iter	Logloss
0	0.644240529
1	0.5992807565
2	0.5598138831
3	0.5229060356
4	0.4925404255
5	0.4627593692
6	0.4379005503
7	0.4154638201
8	0.3957838504
9	0.3770512378
10	0.3595892499
11	0.3437493957
12	0.3318464211
13	0.3203597613
14	0.3096794364
15	0.3005927887
16	0.2921225498
17	0.2831212679
18	0.2764859432
19	0.2696726502
20	0.2645142218
21	0.2588250106
22	0.2538588636
23	0.2490670992
24	0.2454517823
25	0.2420503544
26	0.2390644004
27	0.2359414347
28	0.2327784969
29	0.2307331246
30	0.2281538624
31	0.225620256
32	0.2231078049
33	0.2212831704
34	0.2196730022
35	0.2180364909
36	0.2164492134
37	0.2151638621
38	0.21361584
39	0.2123797498
40	0.2112867157
41	0.2101648675
42	0.2093182781
43	0.2084006565
44	0.2075029311
45	0.2065890825
46	0.2057135219
47	0.2049513411
48	0.2042828508
49	0.2036340859
50	0.2027797176
51	0.2022058041
52	0.2016819507
53	0.2010833089
54	0.2006362652
55	0.2002577238
56	0.1997623122
57	0.1993101602
58	0.198663337
59	0.1983223208
60	0.1979683535
61	0.1976773028
62	0.1973181527
63	0.1969699253
64	0.1965046064
65	0.1961967673
66	0.1958627698
67	0.1955501425
68	0.1952133491
69	0.1948363459
70	0.1945061353
71	0.1942748675
72	0.1940066959
73	0.1937365207
74	0.1934648094
75	0.1931143911
76	0.1928132285
77	0.1924290212
78	0.192157054
79	0.1919305109
80	0.1916330854
81	0.191401489
82	0.191183194
83	0.1909773108
84	0.190789629
85	0.1905888879
86	0.1904345994
87	0.1902549006
88	0.1900642299
89	0.1899182493
90	0.1897238105
91	0.1894055383
92	0.1892419064
93	0.1890909815
94	0.1889349927
95	0.1887330498
96	0.1885338089
97	0.1883725789
98	0.1881721057
99	0.1880041498
100	0.187849659
101	0.1876922247
102	0.1875705091
103	0.1874198485
104	0.1872907665
105	0.1871737925
106	0.1870536683
107	0.1869259488
108	0.1867622698
109	0.1866384636
110	0.1865253492
111	0.186413061
112	0.1862869088
113	0.1861059977
114	0.1859731385
115	0.1858341092
116	0.1857049849
117	0.1855533555
118	0.1854141929
119	0.1852930765
120	0.1851803394
121	0.1850592183
122	0.1848999265
123	0.1847504954
124	0.1846242722
125	0.1845073529
126	0.1843731102
127	0.1841972671
128	0.1840435025
129	0.183941569
130	0.1838180257
131	0.1837314805
132	0.183617943
133	0.1835071305
134	0.1834250392
135	0.1833303055
136	0.1832310832
137	0.183097805
138	0.182969372
139	0.1828485599
140	0.1827151273
141	0.1825877984
142	0.1825114865
143	0.1824721812
144	0.1823865179
145	0.1822625025
146	0.1821401818
147	0.1819951521
148	0.1819073007
149	0.1818037
150	0.1816508608
151	0.181503641
152	0.1814072469
153	0.1813076272
154	0.1811915008
155	0.1810788347
156	0.1809470127
157	0.1808479583
158	0.1807666628
159	0.1806651537
160	0.1805828787
161	0.1804854639
162	0.1803763495
163	0.1802031263
164	0.1801150227
165	0.1800351941
166	0.1799524606
167	0.179862776
168	0.179784841
169	0.1796778577
170	0.1795765551
171	0.1794682428
172	0.1793855362
173	0.1792498469
174	0.1791253363
175	0.1790121157
176	0.1789466614
177	0.1788600384
178	0.1787674635
179	0.1786681644
180	0.178601841
181	0.1785233015
182	0.1783975242
183	0.1783259243
184	0.1782382009
185	0.1781517567
186	0.1780481181
187	0.1779655616
188	0.1778453534
189	0.1777828231
190	0.1777115958
191	0.1776445208
192	0.1775660917
193	0.1775294807
194	0.1774324389
195	0.1773348854
196	0.1772639118
197	0.177167311
198	0.1771164885
199	0.1770496742
200	0.1769549048
201	0.1769019699
202	0.1768143578
203	0.1767553109
204	0.1766374409
205	0.176545191
206	0.1764649088
207	0.1764134903
208	0.1763309339
209	0.1762403778
210	0.1761662087
211	0.1760634109
212	0.1759886182
213	0.1759499391
214	0.1758735203
215	0.1758012437
216	0.1757234133
217	0.1756574503
218	0.1755880215
219	0.1755221286
220	0.1754586846
221	0.1753635501
222	0.1752711989
223	0.1752033899
224	0.1751099313
225	0.1750458478
226	0.1749772615
227	0.1748745497
228	0.1748138225
229	0.1747315257
